,url,autor,fecha,titulo,subtitulo,resumen,tags
47,https://www.pagina12.com.ar/autores/490642-gaston-garriga,No se pudo obtener el autor,No se pudo obtener la fecha,Gastón Garriga,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
48,https://www.pagina12.com.ar/530253-caba-irsa-se-queda-con-otro-edificio-de-la-ciudad-a-precio-d,Por Santiago Brunetto,2023-03-10,CABA: IRSA se queda con otro edificio de la Ciudad a precio de oferta,El inmueble de Paseo Colón al 200 donde funcionaba el Ministerio de Educación,"La empresa sumó ese edificio a su ya largo inventario de bienes y terrenos porteños por algo más de siete millones de dólares, unos 560 dólares por metro cuadrado. ","['Grupo IRSA', 'GCBA', 'Grupo IRSA', 'GCBA']"
49,https://www.pagina12.com.ar/529165-festival-de-tesalonica-adio-kerida,Por Luciano Monteagudo,2023-03-10,"Festival de Tesalónica: ""Adio kerida""",Una retrospectiva da cuenta del exterminio nazi en la ciudad griega,"A 80 años de la partida de los primeros trenes hacia los campos de la muerte, el TIDFF recuerda esa triste fecha con un ciclo extraordinario que incluye films famosos y también desconocidos. ","['Grecia', 'Grecia']"
50,https://www.pagina12.com.ar/506694-la-condena-a-cristina-kirchner-y-la-pelea-que-se-viene-en-lo,Por Raúl Kollmann,2022-12-11,Los insólitos agujeros de la condena a Cristina Kirchner y el problema que tendrá Casación para convalidarla,La pelea que se viene por la Causa Vialidad,"Para la Casación será difícil confirmar la sentencia contra la vicepresidenta que dictó el Tribunal Oral Federal 2.  Una red de complicidades con el macrismo y agujeros negros difíciles de explicar para el sistema judicial argentino. Esta nota fue escrita antes de conocerse los ""fundamentos"" de la condena a Cristina Kirchner, está basada en el anticipo del Tribunal, pero resume a la perfección las inconsistencias del fallo y la batalla jurídica que se avecina.","['Cristina Fernández de Kirchner', 'Causa Vialidad', 'Lawfare', 'Cristina Fernández de Kirchner', 'Causa Vialidad', 'Lawfare']"
51,https://www.pagina12.com.ar/529974-di-tu-verdad-y-rompete,Por Alejandra Varela,2023-03-10,"María Onetto, la actriz que iba hasta el fondo","""Dí tu verdad y rómpete""","Una actriz profunda y precisa en su manera de romper el lenguaje para hacerlo nacer de nuevo cada vez que pisaba el escenario. María Onetto dejó decenas de textos que harán historia en el teatro, el cine y la televisión: fue La mujer sin cabeza, fue el médico apropiador de niñxs de Potestad, fue la madre de Bodas de sangre y Charlotte en Sonata de Otoño, pero sobre todo fue una artista amada y admirada. Entrevistada tantas veces por este suplemento, Las12 le rinde homenaje repasando sus papeles a través de sus palabras. ","['María Onetto', 'María Onetto']"
52,https://www.pagina12.com.ar/530288-efemerides-de-hoy-que-paso-un-10-de-marzo,No se pudo obtener el autor,2023-03-10,Efemérides de hoy: qué pasó un 10 de marzo,Hechos que ocurrieron en la Argentina y el mundo,,"['efemérides', 'efemérides']"
53,https://www.pagina12.com.ar/530303-andres-arauz-el-de-ecuador-es-un-gobierno-de-narco-banqueros,Por Marcelo Justo,2023-03-10,"Andrés Arauz: ""El de Ecuador es un gobierno de narco-banqueros""",Entrevista con el excandidato presidencial por el correísmo ,"Experto en los entramados offshore, el economista analiza el nuevo escándalo que salpica al presidente Guillermo Lasso. ""El problema es que estamos liderados por un presidente banquero vinculado a las mafias organizadas"". ","['Ecuador', 'Andrés Arauz', 'Guillermo Lasso', 'Ecuador', 'Andrés Arauz', 'Guillermo Lasso']"
54,https://www.pagina12.com.ar/530297-nueve-intendentes-ya-se-bajaron-de-la-reeleccion,No se pudo obtener el autor,2023-03-09,Nueve intendentes ya se bajaron de la reelección,Quiénes son los bonaerenses que no continuarán en sus municipios,"Cinco autoexcluidos y cuatro por presentarse como precandidatos a otro cargo, hoy conforman el primer grupo que no reelegirá. ¿Quiénes podrían tomar el mismo camino? ","['intendentes bonaerenses', 'Elecciones 2023', 'Municipios', 'intendentes bonaerenses', 'Elecciones 2023', 'Municipios']"
55,https://www.pagina12.com.ar/530267-acuna-y-bullrich-unidas-contra-el-ministerio-de-las-mujeres-,Por Werner Pertot,2023-03-10,"Acuña y Bullrich, unidas contra el Ministerio de las Mujeres, Genéro y Diversidad",Una inesperada y posible alianza en el PRO porteño,,[]
56,https://octubretv.com/videos/artistas-argentinos/marcia-schvartz/,No se pudo obtener el autor,No se pudo obtener la fecha,Access denied,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
57,https://www.pagina12.com.ar/528403-lucio-demare-tangos-en-su-piano-magico,No se pudo obtener el autor,2023-03-07,Lucio Demare: tangos en su piano mágico,,A 49 años de su partida,"['tango', 'tango']"
58,https://www.pagina12.com.ar/529014-liga-profesional-instituto-le-aguo-la-fiesta-a-independiente,Por Juan José Panno,2023-03-06,Liga Profesional: Instituto le aguó la fiesta a Independiente en Avellaneda,El equipo de Stillitano ganaba 2 a 0 y los cordobeses se lo empataron ,"Los hinchas, decepcionados, despidieron al equipo de Stillitano con silbidos. El Rojo sigue sin poder ganar en su cancha en lo que va del torneo.","['Liga Profesional 2023', 'Club Atlético Independiente', 'Instituto de Córdoba', 'Liga Profesional 2023', 'Club Atlético Independiente', 'Instituto de Córdoba']"
59,https://www.pagina12.com.ar/secciones/sociedad,No se pudo obtener el autor,No se pudo obtener la fecha,Sociedad,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
60,https://www.pagina12.com.ar/530218-la-nina-y-el-cambio-climatico-las-causas-que-estan-por-detra,Por Javier Lewkowicz,2023-03-10,"La Niña y el cambio climático, las causas que están por detrás de las olas de calor",Uno de los veranos más calurosos en Argentina,"La extensión de la sequía y su impacto macroeconómico y sectorial, la tensión en la infraestructura eléctrica y en las escuelas son ejemplos del impacto de fenómenos climáticos que serán cada vez más recurrentes.","['ola de calor', 'Cambio climático', 'Sequía', 'Apagón', 'ola de calor', 'Cambio climático', 'Sequía', 'Apagón']"
61,https://www.pagina12.com.ar/530143-viva-la-huelga-feminista,Por Estefanía Santoro,2023-03-10,¡Viva la huelga feminista!,8M,"Séptimo paro y movilización transfeminista. Recuperar la historia para transformar el 8 de marzo en lo que siempre fue: un día de lucha. Las calles volvieron a ser espacio de rebelión y de conexión entre luchas diversas -desde la soberanía alimentaria hasta la ley de humedales, desde salarios dignos para trabajadoras de casas particulares hasta reconocimiento de las tareas de cuidado como trabajo, desde el orgullo disca a la libertad sexual, desde la reparación histórica a travestis y trans perseguides por la policía hasta el reconocimiento del trabajo sexual; y la lista nunca se termina. En medio de la precariedad de la crisis económica permanente la potencia de no abandonar un espacio de lucha que también fue una fiesta de
abrazos y bailes. ","['8 de Marzo', 'deuda y feminismos', 'Huelga feminista', 'Violencia sexual', '8 de Marzo', 'deuda y feminismos', 'Huelga feminista', 'Violencia sexual']"
62,https://www.pagina12.com.ar/528217-se-edita-soriano-una-historia,Por Ángel Berlanga,2023-03-05,"""Soriano - Una historia"", la entrañable vida del escritor más popular y querido de los últimos tiempos",El hombre que hablaba con los gatos,"A 80 años de su nacimiento, se publica la primera biografía del autor de ""Cuarteles de invierno"" y ""Triste, solitario y final"", además piedra fundamental de Página/12. Escrita por el periodista Ángel Berlanga, se sustenta en una recorrida por su obra literaria, sus escritos en la prensa, decenas de reportajes, las polémicas que encarnó, su correspondencia y charlas con quienes lo conocieron.","['Osvaldo Soriano', 'Osvaldo Soriano']"
63,https://www.pagina12.com.ar/530083-fuerte-repudio-de-ongs-a-la-licitacion-del-gcba-que-iguala-a,Por Santiago Brunetto,2023-03-10,Fuerte repudio de ongs a la licitación del GCBA que iguala a las personas en situación de calle con la basura,"El lunes Página/12 publicó el documento del Gobierno porteño que incluye en la ""higiene"" de las calles a recicladores y personas sin techo",,"['GCBA', 'Personas en situación de calle', 'GCBA', 'Personas en situación de calle']"
64,https://www.pagina12.com.ar/autores/316198-dominique-galeano,No se pudo obtener el autor,No se pudo obtener la fecha,Dominique Galeano,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
65,https://www.pagina12.com.ar/529841-de-papo-campeon-de-fms-a-lo-nuevo-de-marilina-bertoldi,No se pudo obtener el autor,2023-03-08,"Papo campeón de FMS, lo nuevo de Marilina Bertoldi y más","Los #Hashtags del NO | Música nueva y lo mejor para ver, leer, jugar, probar y aprender","Shows lunáticos, clips surrealistas, stand up deforme, efectos especiales, MCs de habla hispana y primeras guitarras vendidas.",[]
66,https://www.pagina12.com.ar/530311-el-frente-de-todos-denuncia-que-la-unica-razon-de-la-condena,Por Luciana Bertoia,2023-03-10,El Frente de Todos denuncia que la única razón de la condena es la proscripción de Cristina Kirchner,El oficialismo coincidió en las críticas al fallo del TOF 2 en la causa Vialidad,"Sin fisuras, el FdT salió a denunciar que los fundamentos de la sentencia  contra la vicepresidenta muestran que sólo se busca sacarla de la competencia política. Mientras se espera que reaparezca en Río Negro, impulsan una manifestación masiva contra la persecución judicial.","['Cristina Fernández de Kirchner', 'Causa Vialidad', 'Proscripción', 'Lawfare', 'Cristina Fernández de Kirchner', 'Causa Vialidad', 'Proscripción', 'Lawfare']"
67,https://www.pagina12.com.ar/530341-detectaron-chikunguna-en-un-paciente-paraguayo,No se pudo obtener el autor,2023-03-10,Detectaron chikunguña en un paciente paraguayo,"Dengue: Salud insistió con ""aislar"" casos febriles en la frontera ",El visitante estaba en el norte provincial cuando presentó síntomas de la enfermedad.,"['chicunguña', 'Asunción del Paraguay', 'Federico Mangione', 'Migrantes', 'chicunguña', 'Asunción del Paraguay', 'Federico Mangione', 'Migrantes']"
68,https://www.pagina12.com.ar/autores/644-claudio-socolsky,No se pudo obtener el autor,No se pudo obtener la fecha,Claudio Socolsky,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
69,https://www.pagina12.com.ar/530200-la-calor,Por Sonia Santoro,2023-03-10,La calor,,,"['ola de calor', 'ola de calor']"
70,https://www.pagina12.com.ar/372547-un-minuto-y-medio-no-se-le-niega-a-nadie-maria-onetto,No se pudo obtener el autor,2021-11-22,Un Minuto y medio no se le niega a nadie | María Onetto,Ciclo de textos leidos,,[]
